assigned_employee_name,1,Total leads,From inquiry to receiving option,From receiving options to going on a tour,From tour to potential application,From potential application to submitted application,Lead-to-tour conversion rate %,Tour-to-close conversion rate %
Alina Victor,1,3,12,6,2,0,100.0,0.0
John Green,0,4,7,1,1,0,25.0,0.0
Moohi Ahmed,2,5,8,4,3,0,80.0,0.0
Omar Blake,0,2,5,2,1,0,100.0,0.0
Ryan Rehman,0,5,9,6,6,2,100.0,33.33333333333333
Sara Edward,1,1,10,2,5,2,100.0,100.0
Simon Sinek,0,0,3,2,1,1,0.0,50.0
Waseem Zubair,0,0,0,3,1,0,0.0,0.0
